sent_id	sent_tag	sent_text	root	advmod_pres	acomp_pres	xcomp_pres
1	F	After lunch one afternoon in December of last year Tsulrim Gyatso repaired to his room at the Amchok Buddhist monastery in Tibet to write a letter	repaired	0	0	0
2	O	Gyatso a highly respected monk in the province of Gansu had been thinking in the Buddhist way about the condition of his people	been	1	0	1
3	F	Tears drop from my eyes when I dwell on this state of sufferings he wrote	drop	1	0	0
4	F	Later that day Gyatso walked to a busy cross street doused himself with gasoline and lit fire to his body	walked	1	0	0
5	O	As the flames consumed his flesh he folded his palms in a gesture of respect the tender last act of a Tibetan Buddhist who sought like 124 monks before him to draw attention to the suffering of his people by immolating his own body	act	0	0	0
6	O	The only loss that any colonial authority truly recognizes is its own	loss	1	0	0
7	O	China claims Tibet as its own but it can not be moved by the deaths of Tibetans because it knows they are foreign	claims	0	1	0
8	O	China in Tibet has always been like Britain in India and Spain in the Americas an alien overlord	been	1	0	0
9	O	As a colossal colonial power absolute tenure of the Tibetan territory and the mineral wealth buried under it matter more to modern China than the lives of Tibet s inhabitants	As	1	0	0
10	F	As Gyatso wrote in his letter Tibetan treasures of gold and silver have been looted under suppressive Chinese law	looted	0	0	0
11	O	Like all colonial powers China has labored hard to reengineer the minds of its subjects to expunge from Tibetans mental makeup their sense of who they are	labored	0	1	1
12	O	A captive Tibet is proclaimed as being free the suppression of its language is justified as a necessary condition of its integration and the annihilation of its culture is trumpeted as evidence of its progress	proclaimed	0	1	0
13	F	Beijing has suffocated Tibet for over half a century	suffocated	0	0	0
14	O	Yet in the lands where freedom is abundant China rather than earning well deserved rebukes is championed as the ineluctable future	championed	1	1	0
15	F	This disgraceful surrender began with President Richard Nixon s visit to China in 1972	began	0	0	0
16	F	Eager to gratify Mao Nixon abruptly terminated the CIA s covert assistance to the Tibetan resistance movement	Eager	1	0	1
17	F	In any case the purpose of the program had been to use Tibetans to gather intelligence about China not to help them regain their homeland which had been lost piecemeal in the 1950s	been	0	0	1
18	O	The subsequent liberal rationalization for closer relations with China went like this the West it was claimed was more likely to influence China by partnering with it and by giving it a prominent position inside rather than pushing it outside global institutions	went	1	1	1
19	O	But in the decades since far from moulding the Chinese state s behavior it is the West that has incrementally abandoned its own values in order to appease Beijing	is	1	0	0
20	F	It has been customary since the early 1990s for American presidents to host the Dalai Lama in Washington	been	0	1	0
