sent_id	sent_tag	sent_text	root	advmod_pres	acomp_pres	xcomp_pres
1	O	Such a formulation gives history way too much credit	gives	1	0	0
2	O	Sure the past is constantly generating its own sequels and spinoffs but the progression is less often from Napoleon Bonaparte to Napoleon III or even from Danton to Caussidi re as Marx would have it	generating	1	0	0
3	F	READ MORE She Hid Her Gun Where No it s more like going from M A S H to After MASH or Josie and the Pussycats to Josie and the Pussycats in Outer Space	READ	1	0	0
4	O	The original instance is rarely worthy of the label tragedy not because it isn t disturbing disastrous and utterly devoid of laughs but because it is so idiotic bathetic and morally demeaned to begin with	is	1	1	0
5	O	Which brings us to a major new book about the history of the FBI and its attempts not simply to keep tabs on various activist groups in the 1960s and 70s but to pit those same groups against themselves	brings	1	0	0
6	O	No one should be dreading the release of Betty Medsger s The Burglary more than Barack Obama	dreading	0	0	0
7	O	It underscores what the paranoids and cranks among us have always known to be true The national security state is never operated for the benefit of citizens but instead proceeds directly from the weird obsessions and pathologies of the people who run it	underscores	1	1	1
8	O	READ MORE How to Hide a Famine The Burglary details the events and people surrounding the 1971 break in of an FBI office in Media Pa.	READ	1	0	1
9	O	The thieves happy to link themselves to National Security Agency whistleblower Edward Snowden in The New York Times made off with tens of thousands of documents that led to the exposure of the bureau s foul Counterintelligence Program COINTELPRO	thieves	0	0	1
10	F	Designed to disrupt all manner of real and imagined threats to the United States COINTELPRO was where J. Edgar Hoover s late career paranoia found its fullest expression	was	1	0	1
11	O	My Reason colleague Jesse Walker whose The United States of Paranoia is a must read for those interested in the abuse of power and ideologically driven derangement reports on a relatively mild example of COINTELPRO S activities READ MORE How Michael Connelly Writes In 1971 Walker writes The Young Socialist Alliance an outfit with virtually no following and less influence ended its prohibition on gay members	writes	1	0	0
12	F	FBI agents sprung into action papering the campus of San Diego State with flyers announcing Attn Gay Set YSA is now accepting gay membership and listing the names and phone numbers of love brothers who would presumably welcome new recruits with open arms	sprung	1	0	0
13	F	COINTELPRO operatives also ginned up a second flier aimed at the ladies and promising that YSA was now accepting les membership	ginned	1	0	0
14	O	It is hopeful this action will have desired effect of dissuading would be new recruits from membership in YSA explains an FBI memo on the matter	is	0	1	0
